Name,ACT,DataType,REP,TR,FR,EN_S,TIM_S,EN,SUB,OV_EN,OV_TIM
results,select,13,1,16.0,2300.0,23.29,17.13,3127.16439729,0.41,1147900.67729,9423.83145511
results,select,12,1,32.0,1800.0,12.57,-20.98,143.100862714,0.4,107354.638947,815.038627892
results,select,08,1,16.0,2901.0,11.38,18.71,334.111430143,0.42,175630.725671,1256.94777585
results,select,02,1,16.0,2800.0,31.56,36.19,88.5202962857,0.56,64561.087259,471.042608079
results,select,20,1,8.0,2901.0,6.88,19.1,245.035164143,0.33,83751.11317,536.027589276
results,select,06,1,16.0,2400.0,19.74,-2.36,67.4547972857,0.49,134475.373517,1055.54148135
results,select,21,1,16.0,2400.0,8.85,-14.62,795.997569857,0.64,778355.47692,5452.81988836
results,select,14,1,8.0,2200.0,20.85,-32.48,180.005635286,0.46,117186.940053,819.087589054
results,select,19,1,32.0,2400.0,-0.28,-25.74,355.650911571,0.52,524870.383572,3683.6948732
results,select,11,1,32.0,2500.0,6.47,-10.09,52.9431744286,0.77,80940.656751,591.620066306
results,select,07,1,32.0,2500.0,12.53,1.07,346.581580571,0.52,336626.468283,2309.02690843
results,select,03,1,16.0,2800.0,9.37,-2.74,557.905689286,0.61,330504.010448,2324.56341566
results,select,01,1,32.0,1900.0,15.36,-20.74,1458.36138543,0.47,1570908.31061,12058.4686444
results,select,22,1,8.0,2700.0,2.94,-3.89,482.700110429,0.65,314356.014835,2274.96689923
results,select,10,1,32.0,2400.0,2.7,-14.62,1090.78353029,0.52,635890.263079,4983.65178409
results,select,18,1,32.0,2000.0,1.86,-12.81,2427.103182,0.61,1599554.10261,12885.8505937
results,select,04,1,16.0,2700.0,8.58,4.03,199.210707286,0.56,156886.266271,1076.59153386
results,select,17,1,8.0,2900.0,51.16,24.92,1512.731612,0.54,975448.322076,6594.3198781
results,select,09,1,4.0,2800.0,50.28,8.67,5198.37934643,0.77,3559138.81086,21847.4699305
results,select,16,1,16.0,2800.0,10.35,6.29,1678.48302843,0.72,1049132.64352,8490.22575576
results,select,05,1,16.0,2700.0,18.28,11.08,493.749888429,0.65,398535.837698,3091.23233533
