csvs/pigz_compress_full_avg,cr_audio1.wav,1,10.0,2300.0,-49.47,-121.05,217.93,0.19,472567.8,3671.4
csvs/pigz_compress_full_avg,cr_audio1.wav,1,30.0,2400.0,9.07,-3.51,132.57,0.1,73763.0,431.5
csvs/pigz_compress_full_avg,cr_audio1.wav,1,30.0,2500.0,11.13,-1.75,129.57,0.1,72002.3,278.4
csvs/pigz_compress_full_avg,cr_audio1.wav,1,21.0,2200.0,-2.24,-31.58,149.06,0.09,78656.9,484.8
csvs/pigz_compress_full_avg,cr_audio1.wav,1,31.0,1700.0,3.53,-45.61,140.65,0.09,68942.8,436.7
csvs/pigz_compress_full_avg,cr_audio1.wav,1,15.0,2500.0,-12.28,-33.33,163.7,0.11,169255.4,1137.5
csvs/pigz_compress_full_avg,cr_audio1.wav,1,22.0,2300.0,-0.1,-22.81,145.94,0.11,93147.2,420.9
csvs/pigz_compress_full_avg,cr_audio1.wav,1,15.0,1900.0,-17.22,-70.18,170.91,0.14,319291.1,2601.0
csvs/pigz_compress_full_avg,cr_audio1.wav,1,13.0,1600.0,-33.11,-122.81,194.07,0.08,122064.6,938.2
csvs/pigz_compress_full_avg,cr_audio1.wav,1,16.0,1600.0,-18.0,-89.47,172.04,0.19,447975.8,3758.5
