FR,EN_S,Name,OV_EN,DataType,REP,TR,TIM_S,OV_TIM,EN,ACT,SUB
2200.0,16.18,pbzip2,217373.5,enwik9,1,32.0,-8.87,1581.7,636.39,decompress,0.22
2800.0,3.86,pigz,226375.0,enwik9,1,32.0,6.08,1327.5,818.98,compress,0.17
2700.0,-60.25,pigz,441659.7,game1,1,8.0,-108.6,3990.2,940.85,compress,0.17
1900.0,-41.12,pigz,33763.1,cr_audio1.flac,1,8.0,-96.43,316.0,146.41,compress,0.1
2700.0,8.72,pbzip2,161304.7,game1,1,32.0,3.47,1236.2,408.09,decompress,0.14
2400.0,15.43,pbzip2,88509.6,cr_audio1.wav,1,32.0,-3.88,595.2,220.5,decompress,0.16
2900.0,0.0,pigz,34539.5,enwik8,1,32.0,0.0,286.8,72.39,compress,0.13
1400.0,-0.67,pbzip2,56316.4,enwik8,1,32.0,-53.85,568.4,84.07,decompress,0.15
1600.0,4.54,pbzip2,34277.0,app4,1,32.0,-53.92,282.8,248.9,decompress,0.08
1600.0,11.32,pigz,202334.4,cr_audio1.wav,1,32.0,-16.92,1912.6,198.99,compress,0.33
1900.0,3.78,pigz,101813.9,app4,1,32.0,-38.97,793.5,301.76,compress,0.19
