nanozip_default_decompress,game1,16,2400.0,29.03,34.56,1452.195,0.0520833333333
pigz_decompress,enwik8,16.0,2700.0,0.42,-3.61,76.866,0.0520833333333
nanozip_default_decompress,enwik9,16,2400.0,5.13,-16.38,1115.513,0.0520833333333
plzip_compress,cr_audio1.wav,16.0,2200.0,18.41,2.37,2328.083,0.0520833333333
nanozip_50_decompress,game1,16,2400.0,28.26,36.1,1419.884,0.0729166666667
nanozip_5_decompress,enwik9,16,2500.0,1.81,-12.52,1513.441,0.0729166666667
pigz_decompress,cr_audio1.wav,32,2800.0,1.76,-0.33,247.611,0.0520833333333
nanozip_5_decompress,cr_audio1.flac,32.0,2700.0,0.92,-3.5,114.755,0.0729166666667
plzip_compress,cr_audio1.flac,16.0,2200.0,16.71,3.26,1776.087,0.0729166666667
plzip_decompress,enwik8,32.0,2700.0,1.16,-3.69,96.18,0.0520833333333
nanozip_default_decompress,enwik8,16,2800.0,10.1,8.8,115.832,0.0729166666667
nanozip_50_decompress,enwik8,16,2400.0,5.4,-15.67,113.552,0.0729166666667
nanozip_5_decompress,enwik8,16,2500.0,4.8,-12.23,116.789,0.0729166666667
plzip_compress,enwik8,16,2400.0,9.03,-2.03,1907.763,0.0520833333333
nanozip_default_decompress,app4,16,2800.0,20.22,31.36,626.296,0.114583333333
nanozip_5_decompress,app4,1.0,2901.0,5.88,21.42,2235.64,0.114583333333
plzip_decompress,enwik9,32.0,2500.0,1.74,-7.23,735.236,0.0520833333333
plzip_compress,enwik9,32.0,1600.0,17.36,-34.26,8642.561,0.0625
pigz_decompress,cr_audio1.flac,1.0,2901.0,14.39,1.15,62.783,0.0520833333333
pbzip2_decompress,game1,32.0,2200.0,10.58,-15.69,399.759,0.0625
nanozip_5_compress,game1,16,2400.0,20.83,5.71,12180.694,0.0520833333333
nanozip_default_compress,game1,32,1600.0,44.08,41.23,10835.1,0.0520833333333
nanozip_default_compress,enwik8,16,1600.0,23.05,9.52,519.04,0.0520833333333
pbzip2_compress,enwik9,32.0,1900.0,8.08,-44.98,1745.737,0.0625
plzip_compress,game1,32.0,2000.0,8.29,-32.37,4015.338,0.0625
plzip_compress,app4,32,1600.0,8.38,-48.59,2538.898,0.0625
pbzip2_decompress,enwik9,32.0,1700.0,14.73,-33.87,647.424,0.0625
pbzip2_decompress,app4,32.0,2000.0,8.37,-29.85,238.919,0.0625
pbzip2_compress,game1,32.0,2000.0,6.58,-38.21,1110.755,0.0625
pigz_decompress,enwik9,16,2800.0,2.34,0.93,932.501,0.0729166666667
pigz_compress,game1,32,2300.0,5.11,-14.33,557.133,0.0625
nanozip_50_decompress,enwik9,16,2400.0,2.86,-22.74,996.775,0.114583333333
pbzip2_compress,cr_audio1.wav,32.0,1900.0,4.68,-46.35,544.021,0.0625
pbzip2_decompress,cr_audio1.wav,32,1600.0,8.13,-50.97,239.529,0.0625
pigz_compress,enwik9,32,2300.0,7.21,-10.74,790.479,0.0625
pigz_compress,app4,32.0,2000.0,3.25,-34.48,303.413,0.0625
pbzip2_compress,app4,32.0,2000.0,7.13,-35.48,772.587,0.0625
pbzip2_compress,enwik8,32.0,2000.0,4.21,-33.48,175.342,0.0625
pbzip2_decompress,cr_audio1.flac,32,1600.0,6.11,-46.52,154.743,0.0625
pigz_compress,enwik8,32.0,2400.0,2.64,-18.48,70.478,0.0833333333333
pigz_decompress,game1,8.0,2900.0,0.43,1.96,631.264,0.135416666667
nanozip_50_compress,app4,16.0,2200.0,20.77,32.97,5716.128,0.0729166666667
nanozip_5_decompress,game1,32.0,2800.0,0.13,-3.46,2049.626,0.15625
pbzip2_compress,cr_audio1.flac,32.0,1700.0,4.91,-57.07,418.038,0.0625
pigz_compress,cr_audio1.flac,32.0,2400.0,3.72,-8.41,99.888,0.0729166666667
nanozip_default_compress,app4,32,2800.0,25.66,31.79,5746.761,0.09375
pigz_compress,cr_audio1.wav,32,1600.0,11.32,-17.13,198.991,0.0625
plzip_decompress,game1,32,2400.0,3.54,-8.07,529.526,0.09375
nanozip_default_compress,cr_audio1.flac,16.0,2700.0,3.71,-2.26,1574.27,0.0729166666667
plzip_decompress,cr_audio1.flac,32.0,2700.0,0.01,-6.14,375.721,0.104166666667
plzip_decompress,app4,32,2300.0,0.94,-13.99,308.841,0.0625
