Name,ACT,DataType,REP,TR,FR,EN_S,TIM_S,EN,SUB,OV_EN,OV_TIM
Radix,sort,200mio,1,32.0,2200.0,22.3,-20.13,946.13046,0.47,1601074.3976,13986408.41
Quick,sort,200mio,1,32.0,2800.0,27.45,1.63,3709.684,0.47,6579872.149,52409849.1
Radix,sort,750mio,1,32.0,2300.0,-15.77,-21.78,4996.786,0.55,10202704.31,86926937.5
Count,sort,750mio,1,32.0,1600.0,28.22,-11.2,8520.7449,0.48,17990324.329,157727466.9
Quick,sort,500mio,1,32.0,2500.0,15.15,-13.97,13142.831,0.42,14287180.705,100684521.3
Count,sort,200mio,1,32.0,2700.0,22.37,2.97,1433.2601,0.57,4834374.7774,40980064.7
Count,sort,500mio,1,32.0,2800.0,2.88,-0.98,6174.527,0.46,12017963.48,163328974.4
Radix,sort,500mio,1,32.0,2500.0,33.61,15.2,1904.94341,0.59,6793301.369,54545464.4
Radix,sort,1000mio,1,32.0,2200.0,9.36,-21.2,5554.343,0.79,20185365.79,176764670.1
Quick,sort,750mio,1,32.0,2700.0,35.82,10.96,20411.286,0.65,37092264.91,271374031.0
Radix,sort,1500mio,1,32.0,2700.0,4.56,-3.36,9137.725,0.83,32384623.31,279515226.7
