FR,EN_S,Name,OV_EN,DataType,REP,TR,TIM_S,OV_TIM,EN,ACT,SUB
2200.0,16.18,pbzip2,1348634.0,enwik9,1,32.0,-8.87,11511.1,636.39,decompress,0.69
1700.0,7.57,pigz,2006267.6,enwik9,1,32.0,-30.41,17726.5,787.39,compress,0.84
2200.0,6.26,pigz,1361966.8,game1,1,32.0,-15.77,12022.0,550.37,compress,0.78
2400.0,3.72,pigz,186195.3,cr_audio1.flac,1,32.0,-8.93,1668.8,99.89,compress,0.74
2000.0,9.15,pbzip2,919389.2,game1,1,32.0,-28.9,8772.9,406.15,decompress,0.5
2400.0,15.43,pbzip2,344640.1,cr_audio1.wav,1,32.0,-3.88,2712.0,220.5,decompress,0.48
2700.0,3.16,pigz,114132.5,enwik8,1,32.0,-6.67,917.7,70.1,compress,0.46
2700.0,15.21,pbzip2,63283.4,enwik8,1,32.0,10.26,463.7,70.81,decompress,0.42
2200.0,9.96,pbzip2,554543.8,app4,1,32.0,-18.63,4804.5,234.76,decompress,0.75
2200.0,11.92,pigz,197651.6,cr_audio1.wav,1,32.0,-1.54,1658.6,197.66,compress,0.48
2500.0,3.57,pigz,611697.5,app4,1,32.0,-13.24,5278.1,302.43,compress,0.65
