Name,ACT,DataType,REP,TR,FR,EN_S,TIM_S,EN,SUB,OV_EN,OV_TIM
Count,sort,500mio,1,16.0,2400.0,-37.01,-69.66,8710.491,0.07,1113546.77,35051603.0
Radix,sort,750mio,1,32.0,2900.0,0.0,0.0,4316.1853,0.11,717299.091,3968510.3
Radix,sort,1000mio,1,32.0,2200.0,9.36,-21.2,5554.343,0.14,1115248.99,6305088.8
Radix,sort,500mio,1,32.0,2800.0,3.77,2.41,2760.942,0.13,799569.8359,5305162.0
Count,sort,750mio,1,32.0,2300.0,20.8,-3.32,9401.613,0.14,3478049.31,24136217.3
Quick,sort,200mio,1,32.0,2800.0,27.45,1.63,3709.684,0.16,1252905.776,8933999.2
Count,sort,200mio,1,32.0,1700.0,15.05,-8.42,1568.39281,0.09,244709.6511,2111668.4
Quick,sort,500mio,1,32.0,2000.0,5.5,-39.67,14637.32,0.16,5495338.58,42910758.8
Radix,sort,200mio,1,16.0,1700.0,12.41,-148.78,1066.604,0.3,1396193.72296,14138294.63
Quick,sort,750mio,1,32.0,1200.0,-1.94,-98.63,32420.14,0.32,29173839.7,254868224.0
Radix,sort,1500mio,1,16.0,2700.0,-51.97,-84.02,14549.37,0.22,8769919.1,64534736.9
