FR,EN_S,Name,OV_EN,DataType,REP,TR,TIM_S,OV_TIM,EN,ACT,SUB
1600.0,-12.35,results,197602.83962,21,1,16.0,-72.1,1645.15381326,981.170803143,select,0.1
2900.0,19.7,results,21969.826313,14,1,16.0,10.77,117.311220886,182.616527286,select,0.14
2900.0,2.3,results,66297.963765,08,1,16.0,-5.31,478.505716988,368.313360143,select,0.16
2000.0,48.55,results,1310698.85735,09,1,8.0,3.64,8584.11507482,5379.25683714,select,0.28
1900.0,-3.69,results,208354.789864,19,1,32.0,-57.99,1620.85596616,367.745675714,select,0.25
1700.0,4.55,results,142762.904106,07,1,32.0,-41.16,1124.89971941,378.169510714,select,0.21
2000.0,-2.95,results,222292.794896,10,1,16.0,-30.88,1767.81492011,1154.16163471,select,0.17
2900.0,22.24,results,406500.518659,13,1,8.0,21.64,2742.80461627,3170.08959014,select,0.17
2400.0,-2.71,results,49160.504963,20,1,16.0,-21.25,358.412137778,270.290136143,select,0.16
2500.0,13.77,results,45344.978023,05,1,16.0,3.1,305.616442919,521.015639,select,0.11
2300.0,6.33,results,14335.917166,12,1,32.0,-18.01,90.889320412,153.31302,select,0.08
1700.0,-18.51,results,21963.536628,04,1,16.0,-64.75,162.645380707,258.259668143,select,0.09
2900.0,51.16,results,142707.167558,17,1,8.0,24.92,858.765114861,1512.731612,select,0.1
2300.0,4.88,results,140484.387073,16,1,16.0,-5.52,1110.67892465,1780.82754271,select,0.1
1800.0,-6.51,results,161522.104086,18,1,32.0,-24.59,1260.838202,2633.93033343,select,0.08
1900.0,15.36,results,336730.603138,01,1,32.0,-20.74,1946.52827543,1458.36138543,select,0.22
1700.0,16.04,results,31432.69389,02,1,16.0,-2.97,250.775656248,108.595073,select,0.24
2800.0,-250.84,results,8217.41276401,11,1,2.0,-484.05,63.5912900169,198.600442143,select,0.04
1800.0,-37.6,results,114633.820447,22,1,8.0,-67.63,952.35335166,684.301602143,select,0.16
2500.0,5.73,results,44756.293463,03,1,16.0,-12.66,286.78228318,580.329816429,select,0.1
2900.0,0.0,results,16165.604318,06,1,32.0,0.0,102.208723448,84.0422807143,select,0.11
