Name,ACT,DataType,REP,TR,FR,EN_S,TIM_S,EN,SUB,OV_EN,OV_TIM
results,select,18,1,32.0,1800.0,-6.51,-24.59,2633.93033343,0.08,161522.104086,1260.838202
results,select,11,1,2.0,2800.0,-250.84,-484.05,198.600442143,0.04,8217.41276401,63.5912900169
results,select,21,1,16.0,1600.0,-12.35,-72.1,981.170803143,0.1,197602.83962,1645.15381326
results,select,04,1,16.0,1700.0,-18.51,-64.75,258.259668143,0.09,21963.536628,162.645380707
results,select,12,1,32.0,2300.0,6.33,-18.01,153.31302,0.08,14335.917166,90.889320412
results,select,06,1,32.0,2900.0,0.0,0.0,84.0422807143,0.11,16165.604318,102.208723448
results,select,14,1,16.0,2900.0,19.7,10.77,182.616527286,0.14,21969.826313,117.311220886
results,select,16,1,16.0,2300.0,4.88,-5.52,1780.82754271,0.1,140484.387073,1110.67892465
results,select,03,1,16.0,2500.0,5.73,-12.66,580.329816429,0.1,44756.293463,286.78228318
results,select,05,1,16.0,2500.0,13.77,3.1,521.015639,0.11,45344.978023,305.616442919
results,select,10,1,16.0,2000.0,-2.95,-30.88,1154.16163471,0.17,222292.794896,1767.81492011
results,select,20,1,16.0,2400.0,-2.71,-21.25,270.290136143,0.16,49160.504963,358.412137778
results,select,22,1,8.0,1800.0,-37.6,-67.63,684.301602143,0.16,114633.820447,952.35335166
results,select,17,1,8.0,2900.0,51.16,24.92,1512.731612,0.1,142707.167558,858.765114861
results,select,07,1,32.0,1700.0,4.55,-41.16,378.169510714,0.21,142762.904106,1124.89971941
results,select,08,1,16.0,2900.0,2.3,-5.31,368.313360143,0.16,66297.963765,478.505716988
results,select,13,1,8.0,2900.0,22.24,21.64,3170.08959014,0.17,406500.518659,2742.80461627
results,select,02,1,16.0,1700.0,16.04,-2.97,108.595073,0.24,31432.69389,250.775656248
results,select,19,1,32.0,1900.0,-3.69,-57.99,367.745675714,0.25,208354.789864,1620.85596616
results,select,01,1,32.0,1900.0,15.36,-20.74,1458.36138543,0.22,336730.603138,1946.52827543
results,select,09,1,8.0,2000.0,48.55,3.64,5379.25683714,0.28,1310698.85735,8584.11507482
