results,01,32,1900.0,15.36,-22.04,1458.36138543,0.291666666667
results,02,16.0,2700.0,31.2,32.42,88.9914731429,0.21875
results,03,8,2900.0,8.72,-7.42,561.923912429,0.229166666667
results,04,16.0,2700.0,8.58,1.81,199.210707286,0.21875
results,05,16,2901.0,18.25,29.0,493.934128,0.21875
results,06,16.0,2200.0,15.73,-10.28,70.8239981429,0.333333333333
results,07,32.0,2200.0,15.42,-3.56,335.099592286,0.3125
results,08,16.0,2901.0,11.38,19.11,334.111430143,0.28125
results,09,4,2700.0,49.24,4.04,5306.89416143,0.21875
results,10,32,2400.0,2.7,-11.84,1090.78353029,0.21875
results,12,16,1700.0,11.79,-31.96,144.375242429,0.302083333333
results,13,16.0,2700.0,25.09,22.88,3053.94106529,0.21875
results,14,4,2901.0,19.14,-5.6,183.880372,0.354166666667
results,16,1.0,2901.0,12.11,21.28,1645.40041229,0.21875
results,17,8,2900.0,51.16,25.2,1512.731612,0.21875
results,19,32.0,2300.0,0.36,-29.1,353.384959571,0.395833333333
results,20,8.0,2901.0,6.88,19.66,245.035164143,0.34375
results,21,16.0,2500.0,3.91,-16.05,839.154699286,0.34375
