FR,EN,END,Name,START,REP,TR,TIM
1600.0,85.195088,1405233927.245657008,11,1405233926.544967969,2,16,.700689039
1600.0,87.221435,1405233929.429579059,11,1405233928.738436287,3,16,.691142772
1600.0,72.212562,1405233931.511945315,11,1405233930.926547938,4,16,.585397377
1600.0,77.999015,1405233933.599165737,11,1405233932.967895400,5,16,.631270337
1600.0,82.153614,1405233934.913476280,11,1405233934.248198334,6,16,.665277946
1600.0,71.585491,1405233936.935781803,11,1405233936.368470261,7,16,.567311542
1600.0,72.536272,1405233938.976909491,11,1405233938.389729007,8,16,.587180484
1600.0,68.21496,1405238197.261446453,11,1405238196.752367882,2,32,.509078571
1600.0,87.156803,1405238199.366175343,11,1405238198.716458888,3,32,.649716455
1600.0,84.488308,1405238201.453867853,11,1405238200.820195777,4,32,.633672076
1600.0,89.75675,1405238203.627839444,11,1405238202.947122750,5,32,.680716694
1600.0,82.945539,1405238205.690327995,11,1405238205.078398883,6,32,.611929112
1600.0,76.489484,1405238206.952600523,11,1405238206.378927815,7,32,.573672708
1600.0,68.049804,1405238208.921090273,11,1405238208.403354056,8,32,.517736217
1700.0,75.510422,1405253262.973723471,11,1405253262.357254799,2,16,.616468672
1700.0,74.993597,1405253265.004449632,11,1405253264.425839951,3,16,.578609681
1700.0,81.217552,1405253267.090220546,11,1405253266.455322802,4,16,.634897744
1700.0,98.933154,1405253269.322286826,11,1405253268.543659233,5,16,.778627593
1700.0,75.762837,1405253271.369719666,11,1405253270.775634771,6,16,.594084895
1700.0,82.912327,1405253273.469514561,11,1405253272.818633767,7,16,.650880794
1700.0,82.87137,1405253275.580866810,11,1405253274.918942292,8,16,.661924518
1700.0,78.192316,1405257369.048332863,11,1405257368.484630885,2,32,.563701978
1700.0,71.032777,1405257371.013400769,11,1405257370.498699805,3,32,.514700964
1700.0,57.927702,1405257372.930564580,11,1405257372.503566339,4,32,.426998241
1700.0,90.404968,1405257375.047361539,11,1405257374.385051261,5,32,.662310278
1700.0,84.050434,1405257377.123572947,11,1405257376.499225844,6,32,.624347103
1700.0,78.15058,1405257379.181099838,11,1405257378.614515181,7,32,.566584657
1700.0,67.242748,1405257381.144547422,11,1405257380.632173448,8,32,.512373974
2000.0,64.71922,1405306085.450452078,11,1405306084.963918265,2,16,.486533813
2000.0,68.908524,1405306087.406279712,11,1405306086.896248340,3,16,.510031372
2000.0,69.91685,1405306089.357526878,11,1405306088.851558182,4,16,.505968696
2000.0,86.290424,1405306091.453732260,11,1405306090.806543175,5,16,.647189085
2000.0,70.577814,1405306093.444733345,11,1405306092.900218174,6,16,.544515171
2000.0,91.796916,1405306095.518707127,11,1405306094.889111467,7,16,.629595660
2000.0,74.138794,1405306097.483025345,11,1405306096.962175346,8,16,.520849999
2000.0,73.942248,1405309831.154329597,11,1405309830.660360816,2,32,.493968781
2000.0,80.110735,1405309833.147532991,11,1405309832.599762610,3,32,.547770381
2000.0,66.64052,1405309835.052636823,11,1405309834.592087852,4,32,.460548971
2000.0,75.960207,1405309836.996907999,11,1405309836.499857629,5,32,.497050370
2000.0,72.116751,1405309838.924189407,11,1405309838.441732910,6,32,.482456497
2000.0,66.19743,1405309840.825982797,11,1405309840.371048002,7,32,.454934795
2000.0,80.568157,1405309842.818797877,11,1405309842.286128586,8,32,.532669291
2300.0,66.793362,1405340718.767500956,11,1405340718.376987304,2,32,.390513652
2300.0,63.007302,1405340720.585776768,11,1405340720.212352716,3,32,.373424052
2300.0,60.583865,1405340723.441813713,11,1405340723.071315801,4,32,.370497912
2300.0,55.35145,1405340725.305760629,11,1405340724.960475994,5,32,.345284635
2300.0,73.586667,1405340727.193973759,11,1405340726.747643108,6,32,.446330651
2300.0,68.315575,1405340729.082105539,11,1405340728.671006641,7,32,.411098898
2300.0,71.89415,1405340730.960919084,11,1405340730.521769368,8,32,.439149716
2400.0,53.48515,1405355357.103017221,11,1405355356.791756177,2,32,.311261044
2400.0,56.4054,1405355358.876642303,11,1405355358.545574884,3,32,.331067419
2400.0,50.61521,1405355360.622780604,11,1405355360.321728110,4,32,.301052494
2400.0,65.037342,1405355363.457098101,11,1405355363.072843250,5,32,.384254851
2400.0,62.365074,1405355365.282133525,11,1405355364.899725220,6,32,.382408305
2400.0,89.43143,1405355367.249763562,11,1405355366.725984066,7,32,.523779496
2400.0,72.227164,1405355369.124334069,11,1405355368.696831636,8,32,.427502433
2500.0,70.81637,1405366283.064708269,11,1405366282.633583448,2,16,.431124821
2500.0,62.167479,1405366284.885789733,11,1405366284.505459024,3,16,.380330709
2500.0,80.313119,1405366286.827500114,11,1405366286.326944322,4,16,.500555792
2500.0,66.339322,1405366288.679492256,11,1405366288.287237555,5,16,.392254701
2500.0,63.555815,1405366291.524438659,11,1405366291.123577742,6,16,.400860917
2500.0,67.117779,1405366293.444439848,11,1405366293.001074469,7,16,.443365379
2500.0,69.844597,1405366295.339725430,11,1405366294.882623235,8,16,.457102195
2500.0,56.90831,1405369485.036846411,11,1405369484.707805331,2,32,.329041080
2500.0,52.605289,1405369486.771402698,11,1405369486.476127256,3,32,.295275442
2500.0,52.72663,1405369488.516692008,11,1405369488.210326163,4,32,.306365845
2500.0,51.864126,1405369491.274499726,11,1405369490.961994302,5,32,.312505424
2500.0,49.78968,1405369493.046012091,11,1405369492.752401056,6,32,.293611035
2500.0,53.110826,1405369494.800481327,11,1405369494.489101430,7,32,.311379897
2500.0,53.59736,1405369496.589070145,11,1405369496.278929972,8,32,.310140173
2800.0,67.59039,1405393174.608359220,11,1405393174.239313909,2,16,.369045311
2800.0,61.35698,1405393177.453941182,11,1405393177.080657861,3,16,.373283321
2800.0,65.650602,1405393179.295258896,11,1405393178.936198535,4,16,.359060361
2800.0,57.856675,1405393181.068865627,11,1405393180.750657834,5,16,.318207793
2800.0,64.191288,1405393182.912432396,11,1405393182.557246038,6,16,.355186358
2800.0,72.902443,1405393184.768200816,11,1405393184.361119623,7,16,.407081193
2800.0,59.471714,1405393186.574298605,11,1405393186.211911670,8,16,.362386935
2800.0,80.70935,1405396210.807465625,11,1405396210.381319638,2,32,.426145987
2800.0,71.00907,1405396212.596064987,11,1405396212.243158837,3,32,.352906150
2800.0,76.57883,1405396215.426242191,11,1405396215.036390418,4,32,.389851773
2800.0,59.618843,1405396217.177398078,11,1405396216.866109265,5,32,.311288813
2800.0,68.75961,1405396218.958099428,11,1405396218.612442278,6,32,.345657150
2800.0,58.69822,1405396220.699809006,11,1405396220.393795059,7,32,.306013947
2800.0,65.25583,1405396223.496020596,11,1405396223.175113540,8,32,.320907056
2901.0,63.96138,1405421301.242966740,11,1405421300.984338955,2,32,.258627785
2901.0,109.83041,1405421303.087748187,11,1405421302.677915551,3,32,.409832636
2901.0,74.1446,1405421304.814156370,11,1405421304.521642436,4,32,.292513934
2901.0,84.6612,1405421306.573792263,11,1405421306.248951327,5,32,.324840936
2901.0,90.58536,1405421309.356120805,11,1405421309.012728060,6,32,.343392745
2901.0,73.47983,1405421311.077896548,11,1405421310.794407891,7,32,.283488657
2901.0,88.998504,1405421312.857815090,11,1405421312.512444007,8,32,.345371083
2901.0,267.908726,1405427250.938019337,11,1405427248.993409891,2,1,1.944609446
2901.0,271.2443,1405427254.360053009,11,1405427252.381466250,3,1,1.978586759
2901.0,292.647768,1405427258.934195696,11,1405427256.798505031,4,1,2.135690665
2901.0,279.322482,1405427262.442869263,11,1405427260.405277610,5,1,2.037591653
2901.0,268.7404,1405427266.850577032,11,1405427264.884551844,6,1,1.966025188
2901.0,268.577418,1405427270.236058892,11,1405427268.285334150,7,1,1.950724742
2901.0,268.326092,1405427274.687423584,11,1405427272.728618065,8,1,1.958805519
2400.0,68.137311,1405355355.350279710,11,1405355354.939635550,1,32,.410644160
1600.0,145.924224,1405233925.897016685,11,1405233924.706280425,1,16,1.190736260
1700.0,118.601958,1405253261.710466944,11,1405253260.767875756,1,16,.942591188
2800.0,89.857413,1405393172.794342330,11,1405393172.301106102,1,16,.493236228
2800.0,101.93717,1405396208.946767764,11,1405396208.426316260,1,32,.520451504
2901.0,95.06494,1405421299.510611885,11,1405421299.131228857,1,32,.379383028
1600.0,88.58287,1405238195.302356004,11,1405238194.629370771,1,32,.672985233
2300.0,90.235244,1405340716.930792110,11,1405340716.388092811,1,32,.542699299
2901.0,296.57128,1405427246.527338358,11,1405427244.400864358,1,1,2.126474000
2000.0,98.245566,1405306083.517851039,11,1405306082.785786756,1,16,.732064283
1700.0,82.127313,1405257367.034027053,11,1405257366.431662829,1,32,.602364224
2000.0,71.275335,1405309829.180545097,11,1405309828.677765480,1,32,.502779617
2500.0,80.544922,1405369483.167183237,11,1405369482.713106218,1,32,.454077019
2500.0,73.18693,1405366281.186076881,11,1405366280.708448483,1,16,.477628398
