FR,EN,END,Name,START,REP,TR,TIM
1600.0,1815.739769,1405233076.094413610,01,1405233064.899331176,2,16,11.195082434
1600.0,2003.854922,1405233089.384165931,01,1405233076.746540564,3,16,12.637625367
1600.0,2001.078142,1405233103.452347764,01,1405233090.837330485,4,16,12.615017279
1600.0,1937.393494,1405233117.037559039,01,1405233104.908781245,5,16,12.128777794
1600.0,1914.602493,1405233130.293659812,01,1405233118.491256087,6,16,11.802403725
1600.0,1907.0805,1405233144.811162736,01,1405233132.751205513,7,16,12.059957223
1600.0,1931.809706,1405233158.326238440,01,1405233146.268738746,8,16,12.057499694
1600.0,1500.710866,1405237270.649205528,01,1405237262.492886475,2,32,8.156319053
1600.0,1581.061742,1405237281.793148272,01,1405237273.129050494,3,32,8.664097778
1600.0,1647.511793,1405237291.551133504,01,1405237282.467825455,4,32,9.083308049
1600.0,1682.522742,1405237301.644908846,01,1405237292.280723001,5,32,9.364185845
1600.0,1550.832732,1405237310.733573152,01,1405237302.311680223,6,32,8.421892929
1600.0,1575.886781,1405237321.842200362,01,1405237313.205741904,7,32,8.636458458
1600.0,1583.609044,1405237331.232759462,01,1405237322.509071045,8,32,8.723688417
2000.0,1621.309985,1405305337.300554207,01,1405305328.576346017,2,16,8.724208190
2000.0,1619.124694,1405305347.594205546,01,1405305338.765935850,3,16,8.828269696
2000.0,1851.881489,1405305359.467228336,01,1405305349.049608855,4,16,10.417619481
2000.0,1767.428367,1405305370.517331328,01,1405305360.921131045,5,16,9.596200283
2000.0,1803.944486,1405305382.895125892,01,1405305373.017008138,6,16,9.878117754
2000.0,1682.452428,1405305393.327522402,01,1405305384.345576162,7,16,8.981946240
2000.0,1921.212893,1405305405.470778677,01,1405305394.814789917,8,16,10.655988760
2000.0,1514.387126,1405309015.597500503,01,1405309008.554628603,2,32,7.042871900
2000.0,1802.673954,1405309025.978029763,01,1405309017.047436081,3,32,8.930593682
2000.0,1569.647976,1405309034.094376986,01,1405309026.621198153,4,32,7.473178833
2000.0,1567.74065,1405309042.277191666,01,1405309034.782037307,5,32,7.495154359
2000.0,1664.91597,1405309052.844025159,01,1405309044.728961271,6,32,8.115063888
2000.0,1688.917173,1405309062.446049926,01,1405309054.290185915,7,32,8.155864011
2000.0,1554.357444,1405309072.309058732,01,1405309064.898777832,8,32,7.410280900
2500.0,1610.963514,1405365625.378779477,01,1405365618.334017839,2,16,7.044761638
2500.0,1711.79497,1405365634.676199610,01,1405365626.820726960,3,16,7.855472650
2500.0,1752.930425,1405365645.340959175,01,1405365637.129512221,4,16,8.211446954
2500.0,1802.233942,1405365654.896653171,01,1405365646.781664648,5,16,8.114988523
2500.0,1765.490594,1405365664.574019943,01,1405365656.340431545,6,16,8.233588398
2500.0,1852.116895,1405365675.642531612,01,1405365667.019868470,7,16,8.622663142
2500.0,1819.534465,1405365684.621348103,01,1405365676.279322862,8,16,8.342025241
2500.0,1483.137382,1405368782.984746601,01,1405368777.214474417,2,32,5.770272184
2500.0,1509.83067,1405368790.242454257,01,1405368784.425350417,3,32,5.817103840
2500.0,1526.259288,1405368798.569100167,01,1405368792.695336673,4,32,5.873763494
2500.0,1558.992678,1405368807.099454331,01,1405368801.018547102,5,32,6.080907229
2500.0,1553.867644,1405368814.541858728,01,1405368808.540712396,6,32,6.001146332
2500.0,1506.785985,1405368822.905246082,01,1405368817.024313165,7,32,5.880932917
2500.0,1495.319889,1405368830.041491253,01,1405368824.348608997,8,32,5.692882256
2800.0,1640.62294,1405392553.059298658,01,1405392546.387529714,2,16,6.671768944
2800.0,1625.224682,1405392560.949971731,01,1405392554.499721493,3,16,6.450250238
2800.0,1806.98333,1405392569.910282899,01,1405392562.424507226,4,16,7.485775673
2800.0,1935.730238,1405392578.497592332,01,1405392570.544164584,5,16,7.953427748
2800.0,1824.559831,1405392588.646867535,01,1405392580.942315636,6,16,7.704551899
2800.0,1826.07404,1405392598.310027552,01,1405392591.088175925,7,16,7.221851627
2800.0,1932.629448,1405392608.664061927,01,1405392600.753468132,8,16,7.910593795
2800.0,1457.45081,1405395543.471100071,01,1405395538.501453387,2,32,4.969646684
2800.0,1427.955797,1405395549.788169677,01,1405395544.945820284,3,32,4.842349393
2800.0,1417.19582,1405395555.182537972,01,1405395550.422745532,4,32,4.759792440
2800.0,1470.095542,1405395561.506535277,01,1405395556.619292541,5,32,4.887242736
2800.0,1435.38989,1405395567.010656795,01,1405395562.139888188,6,32,4.870768607
2800.0,1641.68741,1405395574.132745164,01,1405395568.451518913,7,32,5.681226251
2800.0,1461.028455,1405395581.587457818,01,1405395576.576878234,8,32,5.010579584
2901.0,1846.137951,1405420701.825059377,01,1405420696.834657823,2,32,4.990401554
2901.0,1883.50513,1405420707.559675696,01,1405420702.482271519,3,32,5.077404177
2901.0,1927.306053,1405420714.096201408,01,1405420708.996924655,4,32,5.099276753
2901.0,1881.46488,1405420719.783835597,01,1405420714.742631511,5,32,5.041204086
2901.0,1939.201861,1405420725.585279625,01,1405420720.424611850,6,32,5.160667775
2901.0,1918.32213,1405420731.383797636,01,1405420726.220667099,7,32,5.163130537
2901.0,1886.738054,1405420737.827455758,01,1405420732.821723297,8,32,5.005732461
2901.0,7384.596994,1405425878.965176093,01,1405425824.872734753,2,1,54.092441340
2901.0,7676.431674,1405425936.636429103,01,1405425880.403870376,3,1,56.232558727
2901.0,7393.460765,1405425993.228184176,01,1405425939.081309401,4,1,54.146874775
2901.0,7400.593541,1405426048.886180367,01,1405425994.688193289,5,1,54.197987078
2901.0,7575.14163,1405426105.309568798,01,1405426050.352581286,6,1,54.956987512
2901.0,8236.284405,1405426166.554627316,01,1405426106.756913248,7,1,59.797714068
2901.0,7359.62542,1405426223.036223592,01,1405426169.004584922,8,1,54.031638670
1600.0,3397.095426,1405233062.437734818,01,1405233035.544863381,1,16,26.892871437
2800.0,2924.3611,1405392545.750056529,01,1405392529.529437737,1,16,16.220618792
2800.0,2725.27579,1405395537.060782083,01,1405395522.486079646,1,32,14.574702437
